country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Afghanistan,0,0,0,0,0,0,0,0,0,0,0
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,8.4,8.2,8.1,9.4,9.2,9,8.8,8.8,8.5,8.4,9.2
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Angola,1.2,1.2,1.5,1.6,1.7,1.8,2,1.1,1.1,2,2
Antarctica,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0
Argentina,2.4,2.5,2.7,2.6,2.4,2.3,2.3,2.3,2.3,2.3,2.3
Armenia,--,--,--,--,--,--,--,--,--,--,--
Aruba,--,--,--,--,--,--,0,0,0,0,0
Australia,2.1,2.4,1.7,1.6,1.6,1.4,1.4,1.7,1.7,1.7,1.7
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0763,0.1,0.1,0.065997
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0
Bahrain,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,0.0005,0.0005
Barbados,0.0015,0.000837,0.00045,0.00073,0.0006,0.0006,0.0004,0.0005,0.00362,0.0033,0.00319
Belarus,--,--,--,--,--,--,--,--,--,--,--
Belgium,0,0,0,0,0,0,0,0,0,0,0
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bermuda,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--
Botswana,0,0,0,0,0,0,0,0,0,0,0
Brazil,1.2,1.3,1.3,1.8,1.8,2,2.1,2.3,2.3,2.6,2.8
Brunei,1.8,1.7,1.6,1.2,1.4,1.4,1.5,1.4,1.4,1.4,1.4
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),0.025,0.03,0.028,0.032,0.03,0.028,0.0655,0.058,0.058,0.054,0.0513
Burundi,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0.1,0.2,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.4
Canada,6.8,6.4,7.3,7,6.7,7.1,6.5,6.9,6.8,6.8,6.1
Cape Verde,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,0.4,0.4,0.8,0.8,0.7,0.7,0.7,0.3,0.3,0.3,0.3
China,20,21,20,19,19,19,18,18,18,24,24
Colombia,0.7,0.8,0.5,0.5,0.6,0.6,1.2,1.3,1.6,2,2.1
Comoros,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0.4,0.7,1.3,1.6,0.4,0.5,0.7,0.7,0.7,0.7,0.8
Congo (Kinshasa),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09617,0.09612
Cook Islands,0,0,0,0,0,0,0,0,0,0,0
