shortname	country	subsidiary	subsidiary_country	share	relationship	founded	city	employees	firm
CNOOC	China	Pan American Energy Group	Argentina	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	CNOOC International Limited - Colombia	Colombia	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	CNOOC International Limited - Mexico	Mexico	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	CNOOC International Limited - Trinidad & Tobago	Trinidad & Tobago	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Mero Block	Brazil	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Santos Basin – Alto de Cabo Frio Oeste	Brazil	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Pau Brasil	Brazil	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Espirito Santo Basin - Deepwater Block 592	Brazil	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Long Lake	Canada	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Hangingstone	Canada	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Syncrude	Canada	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	MEG Energy	Canada	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Flemish Pass Basin Exploration Licenses	Canada	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Horn River Basin	Canada		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Balzac Power Station	Canada	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Soderglen Wind Farm	Canada	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Stabroek Block	Guyana	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Eagle Ford 	United States	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Niobrara	United States	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Appomattox	United States	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Stampede	United States	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	West Porcupine	Ireland		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Slyne Erris	Ireland		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Goban Spur	Ireland		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Buzzard	United Kingdom		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Golden Eagle	United Kingdom		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Scott	United Kingdom		Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Hassi Bir Rekaiz	Algeria	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Haute Mer A	"Congo, Democratic Republic"	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Offshore Blocks BC 9 & 10	Gabon	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	AGC Profond Block	Senegal	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Missan Oil Fields 	Iraq	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	OML130	Nigeria	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	EA1	Uganda	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	EA2	Uganda	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Kingfisher	Uganda	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	North West Shelf (NWS) 	Australia	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	China LNG joint venture (CLNG) 	Australia	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	PNG Energy Limited	Papua New Guinea	Majority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Tangguh LNG	Indonesia	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
CNOOC	China	Madura Strait	Indonesia	Minority	Operating Unit	1982	Beijing	1.15E+05	China National Offshore Oil Corporation
Gazprom	Russia	Kugart	Kyrgyzstan		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	East Maylisu	Kyrgyzstan		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Rengan	Tajikistan		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Sargazon	Tajikistan		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
